day,"[ 0.11626   0.53897  -0.39514  -0.26027   0.57706  -0.79198  -0.88374
  0.30119   0.082896 -0.33443  -0.64467  -0.75366  -0.30356   0.07884
  1.2252   -0.038627 -0.47341  -0.40556  -1.1165   -0.21352   0.49275
  0.55574   0.38941  -0.22514   0.37775  -1.4233   -0.13409   0.10737
  0.16528   0.35527   3.5733    0.76404  -0.59226   0.51366   0.12055
 -0.36967   0.43251   0.086429  0.034554  0.082458 -0.8792    0.26134
 -0.32132  -0.12652   0.25573   0.32818   0.024073 -0.39062  -0.10885
  0.084513]"
crush,"[ 0.0055807 -0.55714    0.5547    -0.13404   -0.20158    0.083913
  0.059513   0.53087   -0.25417    0.62683   -0.01459   -0.46964
 -0.2016    -0.15588   -0.075813   0.01029    0.043825   0.11244
 -0.05447    0.32542   -0.36007    0.16266    0.29787    0.12295
 -0.34958   -1.0684     0.068339  -0.3643     1.0341    -0.17944
  1.7179     0.4479    -1.1811     0.074603  -0.66965    0.71207
 -0.65562   -0.94641   -0.27181   -0.75483    0.0303    -0.14502
 -0.80918   -0.73243    1.1944    -0.18825    0.030393  -0.63109
 -0.36914   -0.63794  ]"
templar,"[ 0.5185    0.19107  -0.86266  -0.25855   1.1144   -0.69224   0.44414
  0.23444  -0.71047   0.16383   0.40472   1.3968   -0.9487   -0.34668
 -0.011574 -0.013096  0.44906  -0.4549   -0.80463   0.25442   0.017494
 -0.23272  -0.49549   0.30095  -1.3337    0.21811  -0.79493  -0.88054
 -0.12195  -0.065669 -0.43959  -0.8658   -0.12776  -0.51514   0.17094
  0.63675  -0.57828  -1.1399   -0.13939  -0.21943   0.91906  -0.48614
 -0.32134   0.59036  -0.3033   -0.092676  0.28595  -0.98999  -0.34558
 -1.1718  ]"
seeing,"[ 0.41538   0.076817  0.18115  -0.57414   0.71779  -0.14328  -0.64746
  0.38739  -0.056527  0.29085   0.071316  0.039813 -0.53795  -0.14688
  0.76406   0.26023  -0.019113 -0.26403  -0.26272  -0.69683  -0.088656
  0.62278   0.035016 -0.04718   0.83525  -1.2788   -0.85843   0.36515
  0.88065  -0.20931   2.3208    0.75652   0.49727  -0.77304  -0.28004
 -0.052589 -0.28156  -0.037162 -0.069008 -0.33503  -0.46115   0.13361
 -0.13797  -0.013747  0.5391   -0.405     0.051113 -0.33163   0.058743
  0.19519 ]"
notice,"[ 2.1637e-01 -1.6276e-01 -2.1876e-01 -3.4269e-01  2.2301e-01 -4.1172e-01
 -2.4371e-01  9.9842e-01  3.1745e-01 -2.0442e-01 -1.5441e-01  2.8674e-01
  4.2247e-01 -2.0903e-01  1.0802e+00  1.3829e-01 -6.9571e-01 -8.1101e-01
  1.4927e-01 -9.4223e-01  5.2299e-01  1.3193e-01  1.4322e-01  1.6391e-01
  2.2503e-01 -1.2752e+00 -2.1181e-01  2.2725e-01  4.8590e-01 -4.7549e-01
  2.2124e+00  2.0933e-01 -5.1827e-01 -6.7386e-01 -1.8902e-01 -3.0409e-02
  9.8311e-01 -5.9663e-01 -2.4713e-01 -4.2057e-01  2.2791e-01  1.5636e-03
 -1.3074e-02  4.8136e-01 -2.2046e-01 -2.3658e-01 -1.2741e-02  6.4911e-01
  1.9922e-01  4.5611e-01]"
straight,"[-1.1717    0.14084   0.20311   0.15211   0.32921   0.085524 -0.55071
  0.49795  -0.38954  -0.042079 -0.52094  -0.63173  -1.3293    0.66372
  0.17842  -0.71538  -0.16187  -1.0736   -1.2853   -0.57504  -0.63437
 -0.42815   0.32569  -0.19161   0.073991 -1.2113    0.12951   0.28557
  0.50728  -0.76061   2.9115    0.67484   0.58992   0.78055   0.24922
 -0.1919    0.10302   1.0798   -0.14686  -0.74181  -0.52901  -0.23042
  0.04878   0.13559  -0.15075   0.21334   0.76423  -0.79751   0.024524
 -0.28019 ]"
ago,"[ 0.48384    0.036723   0.3554    -0.11934    0.13925    0.089866
 -1.2636    -0.027009  -0.52288   -0.059505  -0.38398   -0.80808
 -0.65736   -0.24665    1.2932     0.20113   -0.31522   -0.14376
 -0.79002    0.2567    -0.059354   0.43529    0.2418    -0.62907
 -0.037233  -1.7944    -0.16567    0.0054654 -0.056066   0.19838
  2.9616    -0.11965   -0.16888   -0.035133   0.024751  -0.41839
 -0.21409    0.41672    0.16242   -0.2483    -0.90225    0.15443
  0.17426    0.21366    0.10285    0.096885  -0.56849   -0.21438
 -0.68166   -0.3792   ]"
farther,"[ 0.65338  -0.14625   0.93624  -0.73517  -0.38775  -0.90923  -0.55232
  0.59915   0.17342  -0.47719  -0.084622 -0.6362    0.38348  -0.13254
 -0.78211   1.2288    0.60502  -0.31814  -0.57447  -0.43852  -0.47114
 -0.15508   0.45849   0.61213   0.93223  -0.72684   0.21884   0.82957
  1.2051   -0.73753   1.9672    0.42015   0.4973   -0.13252   0.15595
 -0.59648  -0.95311   0.29786  -0.37615   0.49719  -0.61574   0.17039
  0.9025    0.085839 -0.8046    0.055388  0.91576  -0.91989  -0.92891
 -0.40544 ]"
golden,"[-0.62038   1.3945   -0.70536   0.47595   0.8996    0.025177 -0.57433
 -0.58617   0.37967   0.28441  -0.13749   0.30518   0.53802   0.77373
  0.063527  0.027435  0.34208   0.13579  -1.7837   -0.090742  0.061567
 -0.46847   0.37309  -0.76542  -0.63349  -1.2332   -1.0574    0.64292
 -0.23199  -1.4016    1.7948    0.45513  -0.36514   0.48889   0.1453
  0.19768  -0.12466   0.10758  -0.031104 -0.63003  -0.25628   0.38849
 -0.45472  -0.42908  -0.26282   0.3435    0.1677   -1.0454   -0.27588
 -0.89196 ]"
lets,"[ 0.30423  -0.24405   1.0303    0.039387  0.23262  -0.39686  -0.36583
 -0.18573   0.31051   0.48486  -0.035048  0.76138   0.42608   0.58651
  0.35601   0.73256  -0.092297 -0.1974    0.7983   -1.1569    0.43523
  0.2619   -0.45631   1.1645    0.7541   -0.89915   0.068323 -0.40341
  0.53135  -1.1687    1.8254    0.40052  -0.76422  -0.076685 -0.26669
  0.2565   -0.048207 -0.46385  -0.037947 -0.94777   0.9061    0.28996
  0.096715  0.5577   -0.1583   -0.043148  1.0421   -0.43296  -0.096168
  0.43463 ]"
